Sampling_date,Waterbody,AMP_ID,Common_Name,Species_Name,Length_cm,Sampling_Notes,DNA_concentration_ng/?l,Extracted_by,Extraction_date_YYMMDD,Extraction_notes,DNA_concentration_2nd_nanodrop,DNA_concentration_2nd_extraction_ng/?l ,Extracted_by,Extraction_date_DDMMYY,DNA_concentration_3rd_extraction_ng/ul ,Extracted_by,Extraction_date_DDMMYY,Notes,Final_extraction_concentration,Final_extraction_by
19-May,Meuser_Farm,AMP22_0001,Phimephales,Phimephales,5.6,Misidentification-not ours,15.73,Amanda,2022-07-22,low + bad slope - redo,,,,,,,,,15.73,Amanda
19-May,Meuser_Farm,AMP22_0002,Phimephales,Phimephales,4.7,Misidentification-not ours,14.55,Amanda,2022-07-22,low + bad slope - redo,,,,,,,,,14.55,Amanda
19-May,Meuser_Farm,AMP22_0003,Phimephales,Phimephales,4.5,Misidentification-not ours--possible juvenile,6.01,Amanda,2022-07-22,low + bad slope - redo,,,,,,,,,6.01,Amanda
19-May,Meuser_Farm,AMP22_0004,Creek_Chub,Semotilus atromaculatus,7.7,Caught in culvert,114.2,AmandaAmyTeaghan,2022-06-13,,,,,,,,,,114.2,AmandaAmyTeaghan
19-May,Meuser_Farm,AMP22_0005,Western_Blacknose_Dace,Rhinichthys obtusus,7.7,Caught near run/riffle,21.72,AmandaAmyTeaghan,2022-06-13,,,,,,,,,,21.72,AmandaAmyTeaghan
25-May,Simms_Creek,AMP22_0006,Western_Blacknose_Dace,Rhinichthys obtusus,7.8,Caught near run/riffle,,AmandaAmyTeaghan,2022-06-13,,15.79,,,,71.68,Amy,2022-10-27,,71.68,Amy
26-May,Simms_Creek,AMP22_0007,Western_Blacknose_Dace,Rhinichthys obtusus,8.9,Caught near run/riffle,,AmandaAmyTeaghan,2022-06-13,,27.54,,,,125.7,Amy,2022-10-27,,125.7,Amy
26-May,Simms_Creek,AMP22_0008,Western_Blacknose_Dace,Rhinichthys obtusus,7,Caught in flowing planted water (few rocks),,AmandaAmyTeaghan,2022-06-13,,20.22,,,,67.68,Amy,2022-10-27,,67.68,Amy
26-May,Simms_Creek,AMP22_0009,Creek_Chub,Semotilus atromaculatus,14.7,Caught in flowing planted water (few rocks),,AmandaAmyTeaghan,2022-06-13,,19.45,,,,145.4,Amy,2022-10-27,,145.4,Amy
26-May,Simms_Creek,AMP22_0010,Western_Blacknose_Dace,Rhinichthys obtusus,7.7,Male,,AmandaAmyTeaghan,2022-06-13,,15.75,53.36,,,,,,,53.36,AmandaAmyTeaghan
26-May,Simms_Creek,AMP22_0011,Western_Blacknose_Dace,Rhinichthys obtusus,7.6,Male,,AmandaAmyTeaghan,2022-06-13,,17.92,64.31,,,,,,,64.31,AmandaAmyTeaghan
26-May,Simms_Creek,AMP22_0012,Western_Blacknose_Dace,Rhinichthys obtusus,8.3,Male,,AmandaAmyTeaghan,2022-06-13,,33.92,72.27,,,,,,,72.27,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0013,Western_Blacknose_Dace,Rhinichthys obtusus,8.4,River flooded overnight water half a foot higher than before (all Algonquin sites)-Probable male (spawning colours),,AmandaAmyTeaghan,2022-06-13,,35.71,50.24,,,,,,,50.24,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0014,Western_Blacknose_Dace,Rhinichthys obtusus,7.6,,,AmandaAmyTeaghan,2022-06-13,,21.78,57.92,,,,,,,57.92,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0015,Western_Blacknose_Dace,Rhinichthys obtusus,6.9,,,AmandaAmyTeaghan,2022-06-13,,33.87,34.11,,,,,,,34.11,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0016,Western_Blacknose_Dace,Rhinichthys obtusus,7.8,Badly wounded and dead when caught--flesh was starting to turn white when found--possibly killed by 30 cm fallfish that was stuck in the trap with it,,AmandaAmyTeaghan,2022-06-13,,29.62,21.64,,,,,,,21.64,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0017,Western_Blacknose_Dace,Rhinichthys obtusus,8.2,,,AmandaAmyTeaghan,2022-06-13,,23.11,38.78,,,,,,,38.78,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0018,Northern_Redbelly_Dace,Chrosomus eos,NA,Died in trap and picked up for Ben-forgot to measure before storing in ethanol,,AmandaAmyTeaghan,2022-06-13,,15.73,10.84,,,,,,,10.84,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0019,Western_Blacknose_Dace,Rhinichthys obtusus,8.6,,,AmandaAmyTeaghan,2022-06-13,,28.9,27.98,,,,,,,27.98,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0020,Western_Blacknose_Dace,Rhinichthys obtusus,8.7,,,AmandaAmyTeaghan,2022-06-13,,35.7,72.21,,,,,,,72.21,AmandaAmyTeaghan
27-May,Simms_Creek,AMP22_0021,Western_Blacknose_Dace,Rhinichthys obtusus,8.1,,,AmandaAmyTeaghan,2022-06-13,,53.31,52.63,,,,,,,52.63,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0022,Creek_Chub,Semotilus atromaculatus,10.7,,,AmandaAmyTeaghan,2022-06-13,,29.57,87.46,,,,,,,87.46,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0023,Creek_Chub,Semotilus atromaculatus,12.8,,,AmandaAmyTeaghan,2022-06-13,,39.86,123.1,,,,,,,123.1,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0024,Creek_Chub,Semotilus atromaculatus,9.9,,,AmandaAmyTeaghan,2022-06-13,,54.95,71.46,,,,,,,71.46,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0025,Creek_Chub,Semotilus atromaculatus,12.6,,,AmandaAmyTeaghan,2022-06-13,,33.99,132.7,,,,,,,132.7,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0026,Creek_Chub,Semotilus atromaculatus,10.2,,,AmandaAmyTeaghan,2022-06-13,,58.38,106.3,,,,,,,106.3,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0027,Creek_Chub,Semotilus atromaculatus,10.3,,,AmandaAmyTeaghan,2022-06-13,,68.45,93.58,,,,,,,93.58,AmandaAmyTeaghan
27-May,Costello_Creek_Mid,AMP22_0028,Creek_Chub,Semotilus atromaculatus,12,,51.9,Teaghan,2022-07-07,bad slopes,,98.95,,,,,,,98.95,Teaghan
27-May,Costello_Creek_Mid,AMP22_0029,Creek_Chub,Semotilus atromaculatus,10.6,,41.51,Teaghan,2022-07-07,bad slopes,,81.67,,,,,,,81.67,Teaghan
27-May,Costello_Creek_Mid,AMP22_0030,Creek_Chub,Semotilus atromaculatus,10.5,,24.66,Teaghan,2022-07-07,bad slopes,,69.31,,,,,,,69.31,Teaghan
27-May,Costello_Creek_Mid,AMP22_0031,Creek_Chub,Semotilus atromaculatus,9.8,,30.48,Teaghan,2022-07-07,bad slopes,,63.18,,,,,,,63.18,Teaghan
27-May,Costello_Creek_Mid,AMP22_0032,Creek_Chub,Semotilus atromaculatus,12.7,,43.83,Teaghan,2022-07-07,bad slopes,,75.72,,,,,,,75.72,Teaghan
27-May,Costello_Creek_Start,AMP22_0033,Creek_Chub,Semotilus atromaculatus,9.6,,52.94,Teaghan,2022-07-07,bad slopes,,49.41,,,,,,,49.41,Teaghan
30-May,Simms_Creek,AMP22_0034,Creek_Chub,Semotilus atromaculatus,7.1,,11.85,Teaghan,2022-07-07,bad slopes,,36.64,Amanda,,,,,,36.64,Amanda
30-May,Simms_Creek,AMP22_0035,Creek_Chub,Semotilus atromaculatus,6.6,,14.39,Teaghan,2022-07-07,bad slopes,,45.31,Amanda,,,,,,45.31,Amanda
30-May,Simms_Creek,AMP22_0036,Creek_Chub,Semotilus atromaculatus,7.5,,33.41,Teaghan,2022-07-07,bad slopes,,35.54,Amanda,,,,,,35.54,Amanda
30-May,Simms_Creek,AMP22_0037,Creek_Chub,Semotilus atromaculatus,6.4,,20.08,Teaghan,2022-07-07,bad slopes,,32.8,Amanda,,,,,,32.8,Amanda
30-May,Simms_Creek,AMP22_0038,Creek_Chub,Semotilus atromaculatus,8.1,,33.94,Teaghan,2022-07-07,bad slopes,,18.25,Amanda,,,,,,18.25,Amanda
30-May,Simms_Creek,AMP22_0039,Creek_Chub,Semotilus atromaculatus,7.4,,26.21,Teaghan,2022-07-07,bad slopes,,22.55,Amanda,,,,,,22.55,Amanda
30-May,Simms_Creek,AMP22_0040,Creek_Chub,Semotilus atromaculatus,6.3,,23.82,Teaghan,2022-07-20,,,,,,,,,,23.82,Teaghan
30-May,Simms_Creek,AMP22_0041,Western_Blacknose_Dace,Rhinichthys obtusus,7.3,,54.84,Teaghan,2022-07-20,,,,,,,,,,54.84,Teaghan
30-May,Simms_Creek,AMP22_0042,Western_Blacknose_Dace,Rhinichthys obtusus,8.3,Probable female (gravid),23.84,Teaghan,2022-07-20,,,,,,,,,,23.84,Teaghan
30-May,Simms_Creek,AMP22_0043,Western_Blacknose_Dace,Rhinichthys obtusus,8.2,Probable male (spawning colours),47.86,Teaghan,2022-07-20,,,,,,,,,,47.86,Teaghan
30-May,Simms_Creek,AMP22_0044,Creek_Chub,Semotilus atromaculatus,6.5,,123.5,Teaghan,2022-07-20,,,,,,,,,,123.5,Teaghan
30-May,Simms_Creek,AMP22_0045,Creek_Chub,Semotilus atromaculatus,9.7,,31.03,Teaghan,2022-07-20,,,,,,,,,,31.03,Teaghan
30-May,Simms_Creek,AMP22_0046,Western_Blacknose_Dace,Rhinichthys obtusus,8.2,,38.51,Teaghan,2022-07-20,,,,,,,,,,38.51,Teaghan
30-May,Simms_Creek,AMP22_0047,Creek_Chub,Semotilus atromaculatus,6.6,,25.34,Teaghan,2022-07-20,,,,,,,,,,25.34,Teaghan
30-May,Simms_Creek,AMP22_0048,Creek_Chub,Semotilus atromaculatus,6.3,,20.11,Teaghan,2022-07-20,,,,,,,,,,20.11,Teaghan
30-May,Simms_Creek,AMP22_0049,Western_Blacknose_Dace,Rhinichthys obtusus,8.2,Probable male (spawning colours),56.75,Teaghan,2022-07-20,,,,,,,,,,56.75,Teaghan
30-May,Simms_Creek,AMP22_0050,Western_Blacknose_Dace,Rhinichthys obtusus,8.2,Probable male (spawning colours),59.16,Teaghan,2022-07-20,,,,,,,,,,59.16,Teaghan
30-May,Simms_Creek,AMP22_0051,Western_Blacknose_Dace,Rhinichthys obtusus,8.6,Probable female (gravid),57.69,Teaghan,2022-07-20,,,,,,,,,,57.69,Teaghan
30-May,Simms_Creek,AMP22_0052,Western_Blacknose_Dace,Rhinichthys obtusus,8.6,Probable female (gravid),43.7,Amanda,2022-07-22,,,,,,,,,,43.7,Amanda
30-May,Simms_Creek,AMP22_0053,Creek_Chub,Semotilus atromaculatus,7.5,,23.85,Amanda,2022-07-22,,,,,,,,,,23.85,Amanda
30-May,Simms_Creek,AMP22_0054,Western_Blacknose_Dace,Rhinichthys obtusus,7.4,Probable male (spawning colours),22.05,Amanda,2022-07-22,,,,,,,,,,22.05,Amanda
30-May,Simms_Creek,AMP22_0055,Western_Blacknose_Dace,Rhinichthys obtusus,7.7,Probable male (spawning colours),38.45,Amanda,2022-07-22,,,,,,,,,,38.45,Amanda
30-May,Simms_Creek,AMP22_0056,Western_Blacknose_Dace,Rhinichthys obtusus,7.8,Probable female (gravid),28.02,Amanda,2022-08-02,,,,,,,,,,28.02,Amanda
30-May,Simms_Creek,AMP22_0057,Western_Blacknose_Dace,Rhinichthys obtusus,8.4,Probable female (gravid),23.48,Amanda,2022-08-02,,,,,,,,,,23.48,Amanda
30-May,Simms_Creek,AMP22_0058,Creek_Chub,Semotilus atromaculatus,7.7,,58.73,Teaghan,2022-08-02,,,,,,,,,,58.73,Teaghan
30-May,Simms_Creek,AMP22_0059,Creek_Chub,Semotilus atromaculatus,9.8,Probable female (gravid),63.16,Teaghan,2022-08-02,,,,,,,,,,63.16,Teaghan
30-May,Simms_Creek,AMP22_0060,Creek_Chub,Semotilus atromaculatus,7.9,Probable female (gravid),96.58,Teaghan,2022-08-02,,,,,,,,,,96.58,Teaghan
30-May,Simms_Creek,AMP22_0061,Creek_Chub,Semotilus atromaculatus,10.6,,81.69,Teaghan,2022-08-02,,,,,,,,,,81.69,Teaghan
30-May,Simms_Creek,AMP22_0062,Western_Blacknose_Dace,Rhinichthys obtusus,6.7,Probable female (gravid),24.37,Teaghan,2022-08-02,,,,,,,,,,24.37,Teaghan
30-May,Simms_Creek,AMP22_0063,Creek_Chub,Semotilus atromaculatus,7.1,,24.58,Teaghan,2022-08-02,,,,,,,,,,24.58,Teaghan
30-May,Simms_Creek,AMP22_0064,Creek_Chub,Semotilus atromaculatus,6.6,,46.31,Teaghan,2022-08-02,,,,,,,,,,46.31,Teaghan
30-May,Simms_Creek,AMP22_0065,Creek_Chub,Semotilus atromaculatus,7.9,,68.71,Teaghan,2022-08-02,,,,,,,,,,68.71,Teaghan
30-May,Simms_Creek,AMP22_0066,Creek_Chub,Semotilus atromaculatus,13.8,On ice,127.3,Teaghan,2022-08-02,,,,,,,,,,127.3,Teaghan
30-May,Simms_Creek,AMP22_0067,Creek_Chub,Semotilus atromaculatus,13.2,On ice,168.3,Teaghan,2022-08-02,,,,,,,,,,168.3,Teaghan
30-May,Simms_Creek,AMP22_0068,Creek_Chub,Semotilus atromaculatus,15.7,On ice--Probable male (spawning colours),218.6,Teaghan,2022-08-02,,,,,,,,,,218.6,Teaghan
31-May,Simms_Creek,AMP22_0069,Northern_Redbelly_Dace,Chrosomus eos,7.3,Died in trap with crayfish--For Ben,30.76,Teaghan,2022-08-02,,,,,,,,,,30.76,Teaghan
31-May,Simms_Creek,AMP22_0070,Creek_Chub,Semotilus atromaculatus,12.2,,35.41,Teaghan,2022-08-02,,,,,,,,,,35.41,Teaghan
31-May,Simms_Creek,AMP22_0071,Creek_Chub,Semotilus atromaculatus,9.8,,155.6,Teaghan,2022-08-02,,,,,,,,,,155.6,Teaghan
31-May,Simms_Creek,AMP22_0072,Creek_Chub,Semotilus atromaculatus,11,,148.7,Teaghan,2022-08-02,,,,,,,,,,148.7,Teaghan
31-May,Simms_Creek,AMP22_0073,Creek_Chub,Semotilus atromaculatus,11.1,,105,Teaghan,2022-08-02,,,,,,,,,,105,Teaghan
