Code,Lat,Long,Year
MEF,44.45239,-81.31026,2022
CAC,43.64747,-80.47343,2022
IRC,43.75697,-80.40345,2022
MAC,43.57958,-80.30942,2022
SWP,43.64185,-80.4345,2022
SCU,43.65136,-80.41611,2022
SAR,44.41698,-81.35346,2022
ERR,43.5476,-80.1988,2022
LAC,43.48432,-80.56965,2022
HUR,43.8944,-79.79353,2022
LAP,43.46673,-80.53694,2022
CLC,43.46307,-80.55204,2022
SIC,45.578,-78.69937,2022
COS,45.61118,-78.33743,2022
COS,45.60723,-78.33876,2022
AT,42.8638,-81.0836,2019
PF,42.841388,-80.995833,2019
EP2,42.82566,-81.12072,2019
HT,42.853727,-80.82142,2019
KC,42.82718,-81.1471,2019
EP1,42.87521,-81.09964,2019
WC,43.30021,-80.5602,2019
EP4,42.809468,-81.180463,2019
UH,42.67777,-80.80861,2019
EP3,42.812568,-81.162518,2019
HC,42.6686,-81.17974,2019
PVTF,42.7097,-81.05527,2019
LEST,42.68,-81.23,2019
WA,42.8203,-80.68324,2019
BW,42.6698465,-80.475411,2019
