Species_1,Species_2
Central_Stoneroller,Common_Shiner
Central_Stoneroller,Creek_Chub
Central_Stoneroller,Hornyhead_Chub
Central_Stoneroller,Longnose_Dace
Central_Stoneroller,Pimephales_sp
Central_Stoneroller,River_Chub
Central_Stoneroller,Rosyface_Shiner
Central_Stoneroller,Striped_Shiner
Central_Stoneroller,Western_Blacknose_Dace
Common_Shiner,Creek_Chub
Common_Shiner,Hornyhead_Chub
Common_Shiner,Longnose_Dace
Common_Shiner,Pimephales_sp
Common_Shiner,River_Chub
Common_Shiner,Rosyface_Shiner
Common_Shiner,Striped_Shiner
Common_Shiner,Western_Blacknose_Dace
Creek_Chub,Hornyhead_Chub
Creek_Chub,Longnose_Dace
Creek_Chub,Pimephales_sp
Creek_Chub,River_Chub
Creek_Chub,Rosyface_Shiner
Creek_Chub,Striped_Shiner
Creek_Chub,Western_Blacknose_Dace
Hornyhead_Chub,Longnose_Dace
Hornyhead_Chub,Pimephales_sp
Hornyhead_Chub,River_Chub
Hornyhead_Chub,Rosyface_Shiner
Hornyhead_Chub,Striped_Shiner
Hornyhead_Chub,Western_Blacknose_Dace
Longnose_Dace,Pimephales_sp
Longnose_Dace,River_Chub
Longnose_Dace,Rosyface_Shiner
Longnose_Dace,Striped_Shiner
Longnose_Dace,Western_Blacknose_Dace
Pimephales_sp,River_Chub
Pimephales_sp,Rosyface_Shiner
Pimephales_sp,Striped_Shiner
Pimephales_sp,Western_Blacknose_Dace
River_Chub,Rosyface_Shiner
River_Chub,Striped_Shiner
River_Chub,Western_Blacknose_Dace
Rosyface_Shiner,Striped_Shiner
Rosyface_Shiner,Western_Blacknose_Dace
Striped_Shiner,Western_Blacknose_Dace
